name,code,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,tsvData.mapcolor7,tsvData.mapcolor8,tsvData.mapcolor9,tsvData.mapcolor13,population,iso_a3,iso_n3,continent,subregion,region,average
"Bulgaria","BGR",127.50707320858413,127.08692365941458,127.94554021015479,128.81840261170879,131.4628563385223,135.7816740772079,138.30308380906877,138.07338797674049,137.76238060814046,137.37545028693629,138.26939291047427,136.99300452545282,135.18508565010805,134.06250604807471,137.46060326964425,134.07874784497727,133.60354634397393,132.89361254075266,4,5,1,8,7204687,"BGR",100,"Europe","Eastern Europe","Europe & Central Asia",134.03684843999648
"Burkina Faso","BFA",133.29630456512038,130.15692101841861,127.39557167495067,126.04067203571883,124.79214407384848,123.02301678758769,122.72837013893039,122.49688385017056,122.30750292427514,122.18564742469593,124.49805615135179,124.0402452293809,124.76829150757781,125.04431202166649,125.27855695424026,125.10233305395111,124.86947503811379,124.19001598604558,2,1,5,11,15746232,"BFA",854,"Africa","Western Africa","Sub-Saharan Africa",125.12301780200247
"Burundi","BDI",142.01468336906564,136.18940467550138,132.21439858959278,129.25014173865989,127.29822478006595,125.47512212206389,122.382397828834,119.39387039312217,117.08440059460135,115.14818996575946,114.34065390442066,113.72920591083688,113.1747259054187,112.36014801813297,111.60093416079641,110.75582633209686,109.61368873104193,109.1744559949651,2,2,5,8,8988091,"BDI",108,"Africa","Eastern Africa","Sub-Saharan Africa",120.06669294527644
"Cambodia","KHM",126.74580888393736,125.32761188679333,123.96110463394184,122.60198673726933,121.55203463526315,120.42242927663796,119.50986304506915,118.93883308726882,118.16337055202793,117.49524278381664,117.09408579060396,116.53778713598737,116.02110388609732,115.52475073724791,115.25527152599561,115.14607763565378,115.08014786352665,114.75849603548873,6,3,6,5,14494293,"KHM",116,"Asia","South-Eastern Asia","East Asia & Pacific",118.89644478514593
"Cameroon","CMR",139.17512832457288,138.56375574806557,138.07603785998967,137.69685760518712,137.50169369722869,137.59245314864305,137.88705026296842,137.72868131918582,137.50613098272999,137.53392112362283,137.26696553207839,136.3351022598595,135.26138612690346,134.10643199180245,132.97822507734583,132.09712066845651,131.36668407662935,129.90824642426432,1,4,1,3,18879301,"CMR",120,"Africa","Middle Africa","Sub-Saharan Africa",136.03232623497411
"Canada","CAN",154.68441779898455,152.470622257852,151.08067986582483,149.23671842119478,146.827286620041,145.70861160991055,142.29168954351564,141.79549089547103,140.77196361349255,138.21299612768627,134.99226988049426,131.59635416331855,131.4561100144189,128.54217393512755,130.00156774850495,130.30580093772423,128.05599426987885,126.95825707767364,6,6,2,2,33487208,"CAN",124,"North America","Northern America","North America",139.16605582117302
"Cape Verde","CPV",115.33100013479785,115.63198620724226,115.99463595331729,116.1682623001159,116.32618750348175,116.42646542845483,116.49326491207145,115.20696008584549,115.64488395731125,116.15911127850065,117.02027058442491,117.36834574851957,118.60741371992442,118.72883197038404,118.9911412271932,119.09294584066996,120.83279921798298,120.607737468144,1,1,4,11,429474,"CPV",132,"Africa","Western Africa","Sub-Saharan Africa",117.25734686324343
"Caribbean","",127.29900730758608,127.06083246855287,124.55957360915035,125.31575586966937,126.25976664385767,126.91971720926608,125.21365666442661,126.248254139203,127.60159332769665,128.12464408436827,127.32513470534914,125.23782719478032,125.95721708160313,126.95979490238037,127.58766772592951,128.63543912026879,129.28354293066783,128.42764310520721,,,,,,"",,"","","",126.88983711610906
"Central African Republic","CAF",143.65689266269416,142.33567780785336,141.660103546852,140.37337177257811,138.98012955017109,137.99133127575283,137.52791577072924,135.89611597348852,134.15952211988522,133.38302386253139,133.4274411736717,132.72613441106051,131.20543360132069,130.46863276698502,128.90860051355989,127.49470974638159,125.64538763497393,124.09556270448891,5,6,6,9,4511488,"CAF",140,"Africa","Middle Africa","Sub-Saharan Africa",134.44088816083212
"Central Asia","",112.12037831394048,111.50710314905622,112.48798371197367,113.82912879106306,114.35611889256744,115.00540589383773,114.47059632071473,113.32500977089569,113.11563659758387,112.55861469012955,112.72675949915505,112.43836300676814,112.01511202644397,110.14657963825255,109.42417630452077,108.84182554316008,108.45086260532774,107.52824191995809,,,,,,"",,"","","",111.90821648196382
"Central Europe","",165.27844700968708,164.97420814947176,165.45927945739089,166.22030817781973,164.88468646729874,165.21876432402541,163.98976398308659,163.8350593134567,163.27186145122485,162.81147308589652,161.00777307462218,159.00743873240202,159.05165957843718,157.09952720560233,155.84911022475566,157.04024328329677,153.40931084115934,151.02368502558753,,,,,,"",,"","","",161.07958885473451
"Central Europe, Eastern Europe, and Central Asia","",152.26407619203533,151.6145299196838,152.48378516195089,152.93916874261606,151.64689087431105,154.35194197585761,149.82848796059582,148.40039754227359,149.27349552057927,146.51372664787243,146.55920589489037,142.34345776579991,141.04087572188044,138.98142846240881,138.09474896544134,140.23153130073263,136.38501585434767,133.18431872690073,,,,,,"",,"","","",145.89650462389878
"Central Latin America","",101.42637553991629,100.31845108271732,101.89835568405576,100.56830362999972,98.581818125444144,97.721689580366018,96.6351466974132,94.702829468430963,95.019539027939359,95.4449883908736,93.592604475887086,91.5325994349973,91.052001389589378,90.988533007172521,91.220079242707769,90.67503905937707,90.708821562874121,90.712596832319136,,,,,,"",,"","","",95.155542901782269
"Central Sub-Saharan Africa","",114.87871492879438,113.55816783624397,112.07192856421509,112.30914733989337,111.66050473883948,110.62867995191769,109.76030259551641,108.6967434397113,108.39093036859751,107.91263210218079,107.7838729185016,107.63179160781135,107.60963536115312,107.33679067768084,106.80364690707469,106.74414964765256,106.44308683603326,106.22031913209919,,,,,,"",,"","","",109.24672471966204
"Chad","TCD",112.96667146898217,114.58188947146276,115.73036934566406,117.44505362663369,118.08145149975358,118.2823977168468,117.70902724294019,118.12156163446375,118.0671792068346,118.13737657499428,118.95149944622264,119.37267537255336,119.59147910946339,119.23563061842145,119.41343508568359,119.49624573213259,119.80812925027125,119.64596319417437,6,1,8,6,10329208,"TCD",148,"Africa","Middle Africa","Sub-Saharan Africa",118.03544642208325
